id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
43,Helena Bertinelli (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,393,"1989, April",1989
44,Wesley Dodds (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,391,"1939, April",1939
45,Uxas (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,388,"1970, December",1970
46,Ronald Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,386,"1978, March",1978
47,Nathaniel Adam (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,386,"1987, March",1987
48,Red Tornado (New Earth),Secret Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,374,"1968, August",1968
49,John Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,371,"1984, June",1984
50,Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,370,"1940, October",1940
51,Charles McNider (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,361,"1941, April",1941
52,Theodore Knight (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,356,"1941, April",1941
53,Lobo (New Earth),Public Identity,Neutral Characters,Red Eyes,Black Hair,Living Characters,353,"1983, June",1983
54,Perry White (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Living Characters,350,"1986, October",1986
55,John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,345,"1993, June",1993
56,Jefferson Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,344,"1977, April",1977
57,Slade Wilson (New Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,336,"1980, December",1980
58,Phantom Stranger (New Earth),Secret Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,335,"1952, September",1952
59,Beatriz da Costa (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,325,"1982, June",1982
60,William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,321,"1940, February",1940
61,Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,319,"1959, October",1959
62,Clifford Steele (New Earth),Public Identity,Unknown or None,Photocellular Eyes,Unknown or None,Living Characters,314,"1963, June",1963
63,Etrigan (New Earth),Public Identity,Neutral Characters,Red Eyes,Unknown or None,Living Characters,311,"1972, September",1972
64,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,309,"1983, September",1983
65,Swamp Thing (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,309,"1972, November",1972
66,Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,308,"1992, March",1992
67,Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,306,"1942, August",1942
68,Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,305,"1999, July",1999
69,Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,301,"1999, August",1999
70,Michael Holt (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,300,"1997, June",1997
71,Kilowog (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,299,"1986, June",1986
72,Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,297,"2004, May",2004
73,Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,291,"1972, March",1972
74,Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,288,"1940, March",1940
75,Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,286,"1966, June",1966
76,Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,284,"1999, February",1999
77,Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,282,"1940, January",1940
78,Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Living Characters,268,"1981, July",1981
79,Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,268,"1971, April",1971
80,Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,266,"1986, October",1986
81,Boston Brand (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,262,"1967, October",1967
82,Daniel Turpin (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,261,"1942, June",1942
83,John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,256,"1938, June",1938
84,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,254,"1986, October",1986
85,Oswald Cobblepot (New Earth),Public Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,253,"1941, December",1941
86,Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,252,"1983, July",1983
87,Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,250,"1963, June",1963
88,Albert Rothstein (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,245,"1983, September",1983
89,Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Living Characters,245,"1983, July",1983
90,Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,241,"1941, December",1941
91,Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,239,"1941, September",1941
92,Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,237,"1971, March",1971
93,Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Living Characters,237,"1961, August",1961
94,Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,235,"1987, June",1987
95,Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,235,"1999, July",1999
96,Susan Dearbon (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,235,"1961, March",1961
97,Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,234,"1992, October",1992
98,Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,231,"1987, February",1987
99,Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,229,"1941, October",1941
100,Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,229,"1965, September",1965
101,Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Living Characters,229,"1984, May",1984
102,Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,228,"1992, August",1992
103,Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,227,"1950, June",1950
104,Mera (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Living Characters,226,"1963, October",1963
105,Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,225,"1988, April",1988
106,George Harkness (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,224,"1960, December",1960
107,Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,222,"1941, September",1941
108,Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,222,"1986, November",1986
109,Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,219,"1940, January",1940
110,Leonard Snart (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,219,"1957, June",1957
111,Maxwell Lord IV (New Earth),Public Identity,Neutral Characters,Black Eyes,Brown Hair,Living Characters,218,"1987, May",1987
112,Jeb Stuart (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,218,"1961, May",1961
113,Damian Wayne (Prime Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216,"1987, September",1987
114,Big Barda (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,216,"1971, October",1971
115,Niles Caulder (New Earth),Public Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,214,"1963, June",1963
116,James Corrigan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,214,"1940, February",1940
117,Samuel Bradley (New Earth),Public Identity,Good Characters,Grey Eyes,Grey Hair,Living Characters,213,"1937, March",1937
118,Richard Tyler (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,212,"1985, November",1985
119,James Ewell Brown Stuart (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,212,"1961, May",1961
120,Todd Rice (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,208,"1983, September",1983
121,Yz (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,207,"1940, January",1940
122,Matrix (Pocket Universe),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,206,"1988, April",1988
123,Wolfgang Winks (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,206,"1942, November",1942
124,William Glenmorgan (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,199,"1940, June",1940
125,Stephanie Brown (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,198,"1992, August",1992
126,Raymond Terrill (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,192,"1992, February",1992
127,Adam Blake (New Earth),Public Identity,Good Characters,Hazel Eyes,Brown Hair,Living Characters,191,"1951, June",1951
128,Kimiyo Hoshi (New Earth),Secret Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,189,"1985, July",1985
129,Jack Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,188,"1968, April",1968
130,Vandar Adg (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,188,"1943, December",1943
131,Justin Arthur (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,184,"1941, September",1941
132,Max Mercury (New Earth),Secret Identity,Good Characters,Blue Eyes,Grey Hair,Living Characters,183,"1940, November",1940
133,Abigail Arcane (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,182,"1973, January",1973
134,Thomas Haukins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,181,"1947, June",1947
135,Travis Morgan (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,180,"1975, November",1975
136,Margaret Sawyer (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,180,"1987, April",1987
137,Waylon Jones (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Living Characters,180,"1983, March",1983
138,Gorilla Grodd (New Earth),Public Identity,Bad Characters,Grey Eyes,Black Hair,Living Characters,179,"1959, May",1959
139,Adam Strange (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,177,"1958, December",1958
140,Patrick Dugan (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,177,"1941, October",1941
141,Talia al Ghul (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,177,"1971, May",1971
142,James Harper Clone (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,176,"1971, January",1971
143,Thomas Kalmaku (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,176,"1960, October",1960
144,Daniel Cassidy (New Earth),Secret Identity,Good Characters,Yellow Eyes,Unknown or None,Living Characters,176,"1984, June",1984
145,Gabrielle Doe (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,175,"1983, July",1983
146,Henry Hall (New Earth),Secret Identity,Good Characters,Red Eyes,Brown Hair,Living Characters,175,"1968, June",1968
147,Cyrus Gold (New Earth),Secret Identity,Bad Characters,Black Eyes,White Hair,Deceased Characters,174,"1944, October",1944
148,Linda Park (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,174,"1989, July",1989
149,Connor Hawke (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,174,"1994, October",1994
150,Edward Nashton (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,173,"1988, January",1988
151,Arisia Rrab (New Earth),Public Identity,Good Characters,Yellow Eyes,Blond Hair,Living Characters,173,"1981, May",1981
152,Joan Williams (New Earth),Public Identity,Unknown or None,Blue Eyes,Grey Hair,Living Characters,171,"1940, January",1940
153,Robert Crane (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,171,"1942, April",1942
154,William Magnus (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,170,"1962, April",1962
155,Mary Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,168,"1995, April",1995
156,Jean Loring (New Earth),Public Identity,Bad Characters,Green Eyes,Black Hair,Deceased Characters,168,"1961, October",1961
157,Oberon (New Earth),Public Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,167,"1971, April",1971
158,Grant Emerson (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,166,"1994, April",1994
159,Rita Farr (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,166,"1963, June",1963
160,Hector Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,165,"1983, September",1983
161,Jason Rusch (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,165,"2004, July",2004
162,Mercury (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,165,"1962, April",1962
163,Daniel Leong (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,164,"1942, February",1942
164,Jaime Reyes (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,164,"2006, February",2006
165,Platinum (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,164,"1962, April",1962
166,Andre Chavard (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,164,"1942, June",1942
167,"Roy Raymond, Sr. (New Earth)",Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,163,"1949, November",1949
168,Vril Dox II (New Earth),Public Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,163,"1964, February",1964
169,Uncle Sam (New Earth),Secret Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,162,"1940, July",1940
170,Lucas Carr (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Living Characters,161,"1960, March",1960
171,Metron (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Deceased Characters,161,"1971, March",1971
172,Iron (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,161,"1962, April",1962
173,Lead (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,161,"1962, April",1962
174,Hartley Rathaway (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,160,"1959, May",1959
175,Lana Lang (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,159,"1986, October",1986
176,DeSaad (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,158,"1971, May",1971
177,Charles Taine (Pre-Zero Hour),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,158,"1961, May",1961
178,Rose Wilson (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,158,"1992, October",1992
179,Bane (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Living Characters,157,"1993, January",1993
180,Tin (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,155,"1962, April",1962
181,Samuel Morgan (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Deceased Characters,155,"1937, March",1937
182,Salakk (New Earth),Secret Identity,Good Characters,White Eyes,Unknown or None,Living Characters,155,"1982, February",1982
183,Eve Eden (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,154,"1966, September",1966
184,Harleen Quinzel (New Earth),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Living Characters,153,"1999, October",1999
185,Benjamin Turner (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,153,"1975, May",1975
186,Mark Mardon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,152,"1960, January",1960
187,Teth-Adam (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,152,"1945, December",1945
188,Catherine Grant (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,151,"1987, January",1987
189,Terrence Sloane (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,151,"1942, January",1942
190,Jason Blood (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,148,"1972, September",1972
191,Gold (New Earth),Secret Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,147,"1962, April",1962
192,Victor Fries (New Earth),Secret Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,143,"1959, February",1959
193,Arthur Light (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Deceased Characters,142,"1962, June",1962
194,Thomas Wayne (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,142,"1987, February",1987
195,Lester Davis (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,142,"1957, February",1957
196,Alanna Strange (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,141,"1958, December",1958
197,Artemis of Bana-Mighdall (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,141,"1994, September",1994
198,Nuidis Vulko (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,140,"1967, September",1967
199,Steven Dayton (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,140,"1964, November",1964
200,Lee Travis (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,139,"1938, October",1938
201,Solis (New Earth),Secret Identity,Unknown or None,Blue Eyes,Strawberry Blond Hair,Living Characters,138,"1971, March",1971
202,Martin Stein (New Earth),Secret Identity,Good Characters,Brown Eyes,Grey Hair,Deceased Characters,138,"1978, March",1978
203,Alfred Twidgett (New Earth),Public Identity,Unknown or None,Unknown or None,Unknown or None,Living Characters,137,"1942, June",1942
204,Tubby Watts (New Earth),Unknown,Good Characters,Unknown or None,Red Hair,Living Characters,137,"1941, September",1941
205,Unknown Soldier I (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,136,"1970, July",1970
206,Giovanni Giuseppe (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Blond Hair,Deceased Characters,136,"1960, July",1960
207,Victoria Vale (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,134,"1948, October",1948
208,Cynthia Reynolds (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,134,"1984, October",1984
209,Lucius Fox (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,133,"1979, January",1979
210,Ganthet (New Earth),Public Identity,Good Characters,Green Eyes,White Hair,Living Characters,132,1992,1992
211,Izaya (New Earth),Public Identity,Good Characters,Grey Eyes,White Hair,Deceased Characters,132,"1971, March",1971
212,Matthew Ryan (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,131,"1957, February",1957
213,Mick Rory (New Earth),Public Identity,Unknown or None,Blue Eyes,Unknown or None,Living Characters,131,"1963, November",1963
214,Dinah Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,131,"1947, August",1947
215,Rory Regan (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,131,"1976, September",1976
216,Kyle Morgan (New Earth),Public Identity,Good Characters,Brown Eyes,Blond Hair,Living Characters,131,"1957, February",1957
217,Barbara Ann Minerva (New Earth),Public Identity,Unknown or None,Brown Eyes,Unknown or None,Living Characters,131,"1987, August",1987
218,Eclipso (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,131,"1963, July",1963
219,Victory (New Earth),Unknown,Good Characters,Black Eyes,White Hair,Living Characters,130,"1941, September",1941
220,Sargent Steel (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,130,"1964, December",1964
221,Robert Langstrom (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Brown Hair,Living Characters,130,"1970, June",1970
222,Walter Haley (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,129,"1957, February",1957
223,Katma Tui (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,129,"1964, July",1964
224,Charles Victor Szasz (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,128,"1967, June",1967
225,Ares (New Earth),Public Identity,Bad Characters,Red Eyes,Blond Hair,Living Characters,127,"1987, February",1987
226,Rip Carter (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,127,"1942, June",1942
227,Richard Swift (New Earth),Secret Identity,Neutral Characters,Grey Eyes,Black Hair,Living Characters,126,"1942, September",1942
228,Emil Hamilton (New Earth),Public Identity,Bad Characters,Hazel Eyes,Grey Hair,Living Characters,126,"1987, January",1987
229,Eradicator (New Earth),Public Identity,Good Characters,Photocellular Eyes,Black Hair,Deceased Characters,126,"1989, May",1989
230,Frederick Freeman (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125,"1995, May",1995
231,Katar Hol (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,125,"1989, August",1989
232,Richard Occult (New Earth),Secret Identity,Unknown or None,Grey Eyes,Black Hair,Living Characters,125,"1935, October",1935
